"ftsim","fesim","aggregation","roles","alpha","score","label"
"dist","wup","avg","FALSE",0.6,0.32921,"dist-wup-avg-FALSE"
"dist","wup","avg","FALSE",0.7,0.32719,"dist-wup-avg-FALSE"
"dist","wup","avg","FALSE",0.8,0.3238,"dist-wup-avg-FALSE"
"dist","wup","avg","FALSE",0.9,0.31918,"dist-wup-avg-FALSE"
"dist","wup","avg","FALSE",1,0.31344,"dist-wup-avg-FALSE"
"dist","wup","avg","TRUE",0,0.43994,"dist-wup-avg-TRUE"
"dist","wup","avg","TRUE",0.1,0.431,"dist-wup-avg-TRUE"
"dist","wup","avg","TRUE",0.2,0.421,"dist-wup-avg-TRUE"
"dist","wup","avg","TRUE",0.3,0.41004,"dist-wup-avg-TRUE"
"dist","wup","avg","TRUE",0.4,0.39821,"dist-wup-avg-TRUE"
"dist","wup","avg","TRUE",0.5,0.38558,"dist-wup-avg-TRUE"
"dist","wup","avg","TRUE",0.6,0.37215,"dist-wup-avg-TRUE"
"dist","wup","avg","TRUE",0.7,0.35811,"dist-wup-avg-TRUE"
"dist","wup","avg","TRUE",0.8,0.34352,"dist-wup-avg-TRUE"
"dist","wup","avg","TRUE",0.9,0.32856,"dist-wup-avg-TRUE"
"dist","wup","avg","TRUE",1,0.31344,"dist-wup-avg-TRUE"
"occ","dist","max","FALSE",0,0.27047,"occ-dist-max-FALSE"
"occ","dist","max","FALSE",0.1,0.35804,"occ-dist-max-FALSE"
"occ","dist","max","FALSE",0.2,0.36674,"occ-dist-max-FALSE"
"occ","dist","max","FALSE",0.3,0.35586,"occ-dist-max-FALSE"
"occ","dist","max","FALSE",0.4,0.34507,"occ-dist-max-FALSE"
"occ","dist","max","FALSE",0.5,0.3364,"occ-dist-max-FALSE"
"occ","dist","max","FALSE",0.6,0.32929,"occ-dist-max-FALSE"
"occ","dist","max","FALSE",0.7,0.32372,"occ-dist-max-FALSE"
"occ","dist","max","FALSE",0.8,0.31888,"occ-dist-max-FALSE"
"occ","dist","max","FALSE",0.9,0.31467,"occ-dist-max-FALSE"
"occ","dist","max","FALSE",1,0.31109,"occ-dist-max-FALSE"
"occ","dist","max","TRUE",0,0.35947,"occ-dist-max-TRUE"
"occ","dist","max","TRUE",0.1,0.40121,"occ-dist-max-TRUE"
"occ","dist","max","TRUE",0.2,0.39151,"occ-dist-max-TRUE"
"occ","dist","max","TRUE",0.3,0.37417,"occ-dist-max-TRUE"
"occ","dist","max","TRUE",0.4,0.35806,"occ-dist-max-TRUE"
"occ","dist","max","TRUE",0.5,0.34478,"occ-dist-max-TRUE"
"occ","dist","max","TRUE",0.6,0.33431,"occ-dist-max-TRUE"
"occ","dist","max","TRUE",0.7,0.32717,"occ-dist-max-TRUE"
"occ","dist","max","TRUE",0.8,0.32107,"occ-dist-max-TRUE"
"occ","dist","max","TRUE",0.9,0.31571,"occ-dist-max-TRUE"
"occ","dist","max","TRUE",1,0.31109,"occ-dist-max-TRUE"
"occ","dist","avg","FALSE",0,0.38178,"occ-dist-avg-FALSE"
"occ","dist","avg","FALSE",0.1,0.47276,"occ-dist-avg-FALSE"
"occ","dist","avg","FALSE",0.2,0.5062,"occ-dist-avg-FALSE"
"occ","dist","avg","FALSE",0.3,0.51275,"occ-dist-avg-FALSE"
"occ","dist","avg","FALSE",0.4,0.51034,"occ-dist-avg-FALSE"
"occ","dist","avg","FALSE",0.5,0.50522,"occ-dist-avg-FALSE"
"occ","dist","avg","FALSE",0.6,0.49982,"occ-dist-avg-FALSE"
